CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,INJURED_PERSONS,KILLED_PERSONS,INJURED_PEDESTRIANS,KILLED_PEDESTRIANS,INJURED_CYCLISTS,KILLED_CYCLISTS,INJURED_MOTORISTS,KILLED_MOTORISTS,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,COLLISION_ID,VEHICLE_TYPE_1,VEHICLE_TYPE_2,VEHICLE_TYPE_3,VEHICLE_TYPE_4,VEHICLE_TYPE_5
04/14/2020,11:00,,,,,,VERRAZANO BRIDGE UPPER          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4309146,Sedan,C1,,,
06/13/2016,17:10,,,,,,STATEN ISLAND EXPY              ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3461754,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/13/2016,17:30,,,,,,MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3461325,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08-02-18,9:30,,,,,,,,262       BRIGHTON 6 STREET             ,0,0,0,0,0,0,0,0,Unspecified,,,,,3953244,Station Wagon/Sport Utility Vehicle,,,,
06/13/2016,18:00,,,,,,WEST SHORE EXPRESSWAY           ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3461757,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02-03-14,17:00,,,,,,,,2928 WEST STREET                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,116109,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/13/2016,19:20,,,,,,VANWYCK EXPRESSWAY              ,LIBERTY AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3470892,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02-03-14,17:30,,,,,,44 STREET                       ,55 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,245117,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
04/13/2020,17:00,,,,,,CROSS BRONX EXPY RAMP           ,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4308758,Sedan,,,,
04/13/2020,8:55,BROOKLYN,11215,,,,,,105       PROSPECT PARK WEST            ,0,0,0,0,0,0,0,0,Unspecified,,,,,4308804,Station Wagon/Sport Utility Vehicle,,,,
02-03-14,20:30,,,40.7349257,-73.9231109,POINT (-73.9231109 40.7349257),,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3046267,PASSENGER VEHICLE,,,,
